[[0:03 | t=3]] [музыка] F [музыка]
[[5:52 | t=352]] >> Так, есть. Всё, снова всё теперь нормально. Всё, я ушёл. >> Может, я случайно тыкнул. А-а, так. Всем ещё раз привет. Э-э, меня зовут Александр Михайлов. Я уже тут достаточно частый, э, гость на мероприятиях. -Э, ребята меня зовут, сегодня я первый. М, мы будем говорить про планирование и вообще, возможно ли оно сейчас. И поскольку я первый, я подготовил специально такую, мм, как это сказать, а-а, базовую вводную презентацию для того, чтобы вас немножечко ввести вообще в целом в контекст всей истории. Вот. И
[[6:24 | t=384]] поговорим мы сегодня про основные ошибки на практике, э, маркетинга. С чем они связаны, почему а так случается, что бизнес или, э, сами маркетологи считают, что определённый канал или инструмент маркетинга не работает. А ответим на вечные вопросы, что у нас первично рекламные инструменты или, собственно, рекламная идея. Вот. Ну и попробуем построить пошаговый план, э,
[[6:55 | t=415]] собственно, использ который можно использовать для планирования маркетинга на будущий год. А, немножко совсем про меня, чтобы времени не тратить. в маркетинге достаточно давно, занимаемся соцсетями, долго были, э, как будто бы сэмэмэмщиками, но на данный момент, э, м, я сам работаю как эксперт больше по стратегическому маркетингу для разных видов бизнеса, больше всего опыта, а, с битубишкой, с медициной, э в том числе там со сложными с
[[7:26 | t=446]] государственными структурами работали и работаем. Вот. Но вообще в целом более 500 различных кейсов в разных видах бизнеса и не только. про digitл, в том числе и про классический маркетинг. Вот. За спиной есть команда, соответственно, которая при при необходимости подключается, выполняет какие-то а задачи, вопросы. Поскольку у нас тут чатик активный достаточно, я надеюсь, меня виднослы, давайте, а-а, пропишем вот буквально 30 секунд ответы на вопросы, откуда вы, бизнес или
[[7:56 | t=476]] агентство, и, и есть ли у вас план действий, поскольку мы планировани сегодня говорим, вот, ээ, буквально вот чуть-чуть подожду, сейчас на чатик переключусь. Еле-еле выживаем. Ну давайте. 190 человек нас смотрит. Что ж, никто ж не Вот маркетолог, ветеринарной клиники Москва, бизнес есть, B2B план есть. Вот отлично, когда пишут про п про то, что план есть.
[[8:27 | t=507]] Мурманск отлично. Агентство О, студенты - это самое, вот это отлично. Данец, Корёл, маркетинг, электротехника. Супер. Мм, с план есть, но смысла в нём нет. Отличная фраза вообще. Я надеюсь, что смысл появится после, э, сегодняшнего как раз э сегодняшней конференции, после всех выступлений. Аэ, супер, спасибо большое. О, у нас баден баден даже есть. Супер. Там,
[[8:57 | t=537]] наверное, погода лучше, чем у нас. А-а, спасибо всем огромное. Поехали дальше, чтобы, э, время не тратить. Супер классный активный чатик. Молодцы. Ээ, я надеюсь, что меня видно и слышно, потому что вначале действительно были проблемы. А, классический такой вопрос. Корреляция с курицей или яйцо, да? М про маркетинговые инструменты, которые очень часто последнее время особенно обсуждаются на всяких маркетинговых
[[9:28 | t=568]] конференциях. Вот что же первично и самая, наверное, фундаментальная и главная ошибка, когда бизнес или даже маркетологи достаточно часто аа и развивают какую-то определённую экспертность в себе, а очень часто совершается большая ошибка, и эта экспертность развивается в рамках какого-то определённого маркетингового инструмента. А мы совсем недавно собирались там на одном из мероприятий на круглом столе и как раз обсуждали
[[9:58 | t=598]] подробно эту тему. что специалисты, прекрасные специалисты, которые выросли как таргетологи, директологи, а, и прочие ги, да, то есть авитологи и там всёвсё, что можно, а, ещё приписать к этому, мм, сначала изучают инструменты чаще всего, не всегда, а потом, э, берутся изучать непосредственно маркетинг. И это является одной из самых, а, важных таких
[[10:28 | t=628]] серьёзных ошибок. Потому что когда мы приходим в бизнес и предлагаем директ таргетинг или ещё что угодно, мы на первом этапе не задумываемся о базе маркетинга данного бизнеса. Ну, чаще всего не задумываемся. Аа вот это то, что я сам встречаю, в том числе там в HRре, в собственном агентстве, да, там и в общении с с молодыми ребятами, кто только начинает а свой путь в маркетинге. И вот, наверное, здесь, э, такой суперважный на старте тейк о том,
[[10:58 | t=658]] что, а, во-первых, если вы уже изучили какой-то определённый инструментарий, специализируетесь по какому-то, а, маркетинговому инструменту, м, и понимаете, что, возможно, понимаете, что вам не хватает, а, базы маркетинга, вам очень важно её изучить, начиная от книжек про рекламу Агилви и прочего, а всё, что вот представляет из себя для классической классический маркетинг, классический рекламный подход и история, в том числе
[[11:29 | t=689]] рекламы, а имеет смысл изучить и всё-таки определиться с тем, что аа когда мы приходим в маркетинг, первой базой, точно так же, как и в школе, является таблица умножения, да, то есть два и а самые самые самые простые примеры, самая-самая база, потому что м достаточно часто на практике вот эти элементы перепрыгиваются И здесь, ээ, чтобы супер долго не останавливаться, всё-таки первичен, а-а, первична база маркетинга, а не маркетинговые
[[12:00 | t=720]] инструменты. Поэтому, если так получилось, так случилось, что, понимаете, там при общении с клиентами или, наоборот, если вы бизнес, а, но при этом, э, ищете подрядчиков, в первую очередь, э, имеет смысл подрядчиков проверять на, аэ, знания базы маркетинга, но при этом не на мм понимание маркетинговых инструментов, потому что инструменты они всё-таки инструменты. инструментом обучиться и научиться кнопочки нажимать на компьютере намного проще, э, чем повысить скилл э в базовом маркетинге,
[[12:31 | t=751]] понимать, как строится поведение потребителей, почему люди покупают там, а не не в одном, а не в другом месте. И вот всё, на что отвечает, э, классический маркетинг, начиная от цифр, заканчивая психологией, намного важнее. И те специалисты, те люди, которые знают э вот эту базу самую, они должны и ценятся по факту намного намного выше, а, чем маркетинг, который начинался с ээ с какого-то конкретного маркетингового
[[13:01 | t=781]] инструмента. Аа, ну и, соответственно, ещё один очень суперважный тейк, тот, кто за как бы киноиндустрией следит, я думаю, что отсылку оценит. Э-э, собственно, е в этом году появился фильм такой по книжке Спилберга, э-э, по-моему, вот, ээ, называется Долгая прогулка. Это такой достаточно сложный фильм психологически. Вот. И, соответственно, но здесь как бы ассоциации абсолютно прямые, да.
[[13:34 | t=814]] А важно понимать, маркетолог вы или предприниматель вы, без разницы вообще абсолютно. что любой бизнес - это долгая прогулка и прогулка, марафон, как угодно называйте, да, то есть, но в данной ситуации, э, опять же достаточно частая ошибка, когда бизнес приходит в маркетинг или маркетолог начинает заниматься определённым э каким-то проектом, что для того, чтобы оценить э результативность, просто не хватает времени. И в данной ситуации м важно на
[[14:06 | t=846]] старте понимать и чётко ээ рассчитывать, через какой промежуток времени вообще имеет смысл делать какие-то выводы. Потому что, если мы говорим про мм трафик а какого бы то ни было формата, да, то есть, поскольку мы это всё-таки от Vitamin Tools выступаем, да, то а коридор оценки часто бывает в днях и в неделях, и после этого происходит отключение маркетинговых инструментов по каким-то причинам неэффективных. Аа а на
[[14:36 | t=876]] самом деле коридор оценки по трафику может растягиваться до нескольких месяцев. Раньше в определённых ситуациях оценить его просто нельзя, особенно если мы говорим о первом уровне, о прямом литгенее. А если мы говорим о других маркетинговых инструментах, допустим, работу с контентом, то там раньше, чем на в лаге в несколько месяцев, вообще результативности оценить нельзя. И тот же самый SMMблок оценивается по, э, кварталам, а лучше по году. Ээ, на самом деле, вот, и поэтому, э- да, вот спасибо
[[15:09 | t=909]] большое, отсылку оценила. Вот я я очень рад. Ээ киношка меня самого просто очень сильно зацепила. И здесь очень важно понимать, что бизнес в любом случае - это движение и постоянное движение и постоянное развитие. И только такой бизнес на долгой перспективе э может действительно добиваться какого-то большого серьёзного результата. И а в короткую это просто не оценить и не понять, то ли мы делали или неправильно
[[15:39 | t=939]] мы делали что-то. Вот. Ну и ещё, чтобы вводную часть такую завершить, а-а, два две такие на опыте важные мысли. А особенно они важны, возможно, будут для начинающих маркетологов в разных проектах абсолютно. Аа когда вы работаете с малым бизнесом, очень часто к вам приходит, особенно с малым бизнесом, а-а, хотя это может быть применено и к достаточно крупным компаниям, мы тоже с таким сталкивались
[[16:09 | t=969]] на опыте. Вот, ээ, м достаточно часто приходится сталкиваться, что в маркетинг, ну, люди приходят с заледами, а-а, вот, ээ, и м приходят они в тот момент, когда уже всё плохо. Вот это вот, а-э, что нам нужны продажи, да. А-а, и маркетологу очень важно, когда к нему приходит такой проект, а, на старте очень чётко и понятно отследить и оценить, ээ, подобный заход, потому что
[[16:40 | t=1000]] очень часто, и мы сами с на таком очень часто набира набирали набивали шишки, о том, что на самом деле часто бизнес в какой-то определённый момент времени а уже просто можно, ну, грубо говоря, не спасти маркетингом даже супер с хорошим, супер, с с правильным подходом и с правильно подобренными инструментами, но часто бывает уже просто слишком поздно. И мм бизнесу, и маркетологам, которые работают с бизнесом, очень важно
[[17:10 | t=1030]] понимать и научиться чувствовать и оценивать этот момент, потому что вообще по факту а-а должно быть, конечно, немножечко по-другому. И бизнес э должен, в том числе и малый маркетинг, и все маркетинговые инструменты включать в базовый в базовый набор работы, как бизнес не может, допустим, без бухгалтерии, да? То есть сейчас уже никто не открывает бизнес без нормального, пусть и суперпростого, но бухгалтерского и там какого-то хотя бы финансового учёта. А-а вот маркетинг
[[17:42 | t=1062]] пока не относится к этой теме и к этой сфере, но очень хотелось бы, чтобы он туда пришёл и чтобы предприниматели чётко и понятно оценивали, а что при за что начиная с запуска бизнеса, мм, определённая доля расходов на постоянной основе должна а быть погружена в маркетинг, и тогда бизнес получает намного большие результаты. У крупного бизнеса есть при этом обратная сторона. И крупный бизнес, ээ, уже научившийся выделять стабильные деньги на маркетинг, очень часто
[[18:14 | t=1094]] режет косты, когда что-то случается, когда внутренний кризис в компании получается или какие-то внешние обстоятельства, как сеча, которых сейчас там очень много. А крупный бизнес очень часто в первую очередь срезает маркетинг. Но опять же здесь достаточно серьёзная ошибка. а-э, возникает в том, что на самом деле когда плохо, маркетинг -э в крупном бизнесе нужен ещё больше, чем когда хорошо. Поэтому основная основная позиция в данной ситуации, что когда хорошо, мы тратим на маркетинг
[[18:45 | t=1125]] базово, а когда плохо, мы на тратим на маркетинг больше. И возможность единственная тратить на маркетинг больше, когда плохо - это тогда, когда ты создаёшь запасы маркетинговых бюджетов и прочего, э, возможностей для расходов на маркетинг тогда, когда хорошо. А вот, то есть, ээ, опять же, в финансах есть такое понятие, как фондирование. И вот определённые там я знаю, что в крупных компаниях они есть, фонды на маркетинг, э, подвязанные подде к определённым финансовым показателям, они, по сути, должны стать э базой для
[[19:16 | t=1156]] применения в в бизнесе любого уровня. Потому что, если что-то так случилось, получилось по внешним или внутренним обстоятельствам, что бизнес наоборот вырос выше плана, то маркетинг здесь тоже должен э получать какую-то определённую дополнительную копеечку для того, чтобы показывать ещё больше результат. А тут в чате, ну, я вот я вижу вопрос про контент-завод. Ээ я отвечу либо текстом, либо в финале, либо вот модератор мне подскажет, потому что я могу забыть, если честно.
[[19:47 | t=1187]] Вот. А следующий базовый совсем такой вопрос про инструменты данные, да? То есть я вот я надеюсь, что из 218 человек, которые сейчас меня слушают соответственно все знают, что нарисовано на картинке, но вот у меня два ребёнка, соответственно, 12 там и 18 лет, они уже не знают, что это за предмет, нарисованный на картинке, да, это счёты. А-а, и когда-то этим
[[20:19 | t=1219]] пользовались все бухгалтера, все финансисты. И это было базой, потому что другого инструмента у людей просто не было. Я, хотите, верьте, хотите нет, но я перерыл ээ на фотобанке э несколько листов для того, чтобы вообще в целом найти фотографию счёт. То есть это уже сильно прошлое. Вот. Э, но при этом, м, очень часто, когда мы особенно подходим, мы сейчас подходим к вами, э, с вами к теме планирования, а, в том числе маркетингового, потому что всё равно подвязано всё под цифры всегда, а-а,
[[20:49 | t=1249]] очень часто, мм, и бизнес, и маркетологи начинают всю эту историю мм с какого-то определённого инструмента. Самый классический пример вообще абсолютно, э-э, я думаю, что всем понятный в данной аудитории - это подключение пресловутой сквозной аналитики. Да, то есть все знают, что такое сквозная аналитика, но никто не умеет её готовить. Простите, но это так вот. И, э, я думаю, что в большинстве компаний, даже в крупных, на
[[21:19 | t=1279]] самом деле не догадываются, ну, точнее, либо не совсем до конца используют функционал сквозной аналитики, либо используют её не совсем так и оценивают результаты не совсем так, потому что на самом деле это супер сложный и суперэффективный инструмент, но для того, чтобы его, как и там, я не знаю, CRM-системы, интегрировать в компанию, использовать и грамотно оценивать данные, нужно очень-оченьочень много шишек набить. Вот поэтому м в данной ситуации точно так же, как вот мы говорили с вами, маркетинг ээ или
[[21:50 | t=1310]] маркетинговые инструменты мм всё-таки первичен ээ первичны данные. Я очень хорошо научился этому вопросу с точки зрения финансов, э-э, поскольку агентство тоже бизнес, да, мы в прошлом году про проходили сначала внешний финансовый аудит сами для себя и потом несколько, соответственно, консультаций брали у финконсультанта, который, э, собственно говорил о том, ну, показывал нам какие-то наши ошибки. И у меня даже у самого в голове с точки зрения финансов, хотя вот в маркетинге такой
[[22:21 | t=1341]] проблемы нету, аа был м позиция такая о том, что я сначала вот а подключу какой-нибудь сервис, отдам туда все финансовые данные, а он мне расскажет, где я не прав и что мне делать для того, чтобы там избежать там классических кассовых разрывов или ещё что-то. Но мне финансовый консультант очень хороший сказал: "Ты научись сначала считать на листочке. научись сначала считать в эксельке, а потом будешь в вбивать финанс, ээ, начинать использовать какие-то айтишные финансовые
[[22:51 | t=1371]] инструменты. А я как бы бы этому противился поначалу очень, да, но здесь вот как бы пример как раз со счётами. И сначала нужно научиться на самой базе процессу, а потом внедрять автоматизацию. Опять же, как и в маркетинге, очень часто происходит подмена понятий, когда мы сначала, а, учимся какому-то инструменту автоматизации маркетинга, допустим, да, или анализа данных в маркетинге, без чего нельзя построить
[[23:21 | t=1401]] планы по факту. Вот. Ээ а потом уже разбираемся с данными. Так вот, надо сначала определить, какие данные нам нужны для, собственно говоря, построения планов и аналитики хоть какой-то, а потом уже думать про инструменты автоматизации. И по-другому совсем никак не получается, к сожалению, а может быть и к счастью. Дадада. Да. Вот бизнес должен начинаться с Excel. Тут вот подтверждаю полностью, э, я сам до сих пор, ну, правда не в цифрах, но я сам до сих пор, у меня
[[23:51 | t=1431]] всегда с собой, кроме, а, я достаточно хорошо знаю Excel и во многих инструментах до сих пор его применяю, но у меня до сих пор с собой всегда, а, в рюкзаке, когда там по конференциям мотаюсь, блокнот с чистыми листами для записей. Вот, э-э, собственно говоря, про планирование, да, то есть что мы что нам делать, как нам быть. И это не прикладные, это фундаментальные шаги, которые нужно сделать э для того, чтобы, собственно говоря, научиться планировать, да, мы
[[24:22 | t=1462]] там четыре шага шага я сейчас проговорю, и мы с вами поймём, что в целом с этим со всем делать. И первый шаг он больше на уровне психологии, но это опять же опыт. Я, наверное, года два-три последние, когда уже понял, ну, что я что-то понимаю в маркетинге, да, то есть какой какие-то э в достаточно серьёзные м как это сказать, опыты пройдены. Вот я очень сильно сам для себя начал ударяться в психологию. И мне это, на
[[24:52 | t=1492]] самом деле, даёт достаточно большой результат. Вот, ээ, с точки зрения профессиональной. Вот. И самый главный тейк, который мы там достаточно хорошо научились применять к детям, допустим, но очень плохо научились применять сами к себе достаточно часто, это м дать возможность самому себе ошибаться. И вот в работе с данными, в работе в бизнесе и в планировании очень часто встречаешь, особенно когда с клиентами взаимодействуешь, что вот мы сегодня не выполнили план на там 3%, и это смерть
[[25:25 | t=1525]] всё вот. Ну, никак больше, по по-другому. Аа, соответственно, любой план начинается с ошибки, да, и любая ээ единственная возможность прицелиться и попасть, да, сначала большое количество раз ошибиться. И, соответственно, мм, в любое планирование нужно закладывать какую-то определённую погрешность. и саму погрешность, то есть по факту погрешность ошибка, да? Саму погрешность
[[25:55 | t=1555]] нужно ввести в процесс. То есть любой план хорош ээ тогда, когда в него введена како какая-то определённая погрешность, и это нормально, да. Аа про погрешности на следующем слайде будет подробность один из самых там эффективных маркетинговых и математических в целом простых инструментов. Я его покажу, да. Ну и ээ не моя цитата, сразу говорю, но она мне тоже очень понравилась. Я вот читаю в чатике о том, что а впечатляет. Аа
[[26:26 | t=1586]] увеличивайте ваши планы на старте и ставьте себе большие цели, чем даже ес чем даже вы объективно рассчитываете добиться. Потому что на уровне психологии это очень важный фактор. Вы даёте себе больший стимул для достижения, потому что если действительно сработать круто, вы м соответственно э сможете объективно погладить себя по голове и сказать, насколько вы классные. Вот. А во-вторых, да, в действительности, а сам, когда
[[26:57 | t=1617]] продумал в себе внутри про эту мысль, в большую цель проще попасть. Вот. Но при этом, э, вот этот лак, ээ, для достижения, да, то есть, если вы ставите цель на там 120%, а выполняете её на 101, вы всё равно перевыполняете цель, да, не добиваетесь своего какого-то определённого результата, но вы всё равно в данной ситуации молодец. И это суперважно для дальнейшего, в том числе, планирования. Сбор данных
[[27:28 | t=1648]] очень часто на практике и в том числе с общение с маркетологами, опять же никого в данной ситуации не хочу обидеть. А мы мы оперируем ощущениями. Бизнес вообще страшно этим страдает. А вот и это как бы меня всегда очень сильно коробит. Э, у нас так получилось, что там в течение этого года я в том числе там выступал достаточно часто м на тематики мм связанные с трафиком. Мм, вот э-э
[[28:00 | t=1680]] мне приходилось прямо залезать в сермисистемы к клиентам для того, чтобы проверять. Мне всегда очень коробило о том, что, а, вот на самом деле вот когда срезаешь данные по сиремке, там, по литгену тому же самому, а, и там цифры, ну, вполне логичные поворонки, всё нормально, а приходишь на созвон к клиенту, тебе Роб там говорит о том, что м по моим ощущениям у нас продажи упали в два раза, да? То есть, ну, как бы любая в данной ситуации аналитика начинается со сбора данных. И если данные нам говорят, что белый - это
